model,degradation,auc_mean,auc_std,accuracy_mean,accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std
QA-MobileNetV3-Small,mild,0.7676923076923077,0.024907177414637906,0.6138888888888889,0.08156008082159884,0.77,0.07326950970650467,0.5538461538461539,0.1076344552531651,0.5294535121741004,0.06622617213348998
QA-MobileNetV3-Small,moderate,0.8292307692307693,0.015705162631816653,0.8055555555555556,0.045953899548250604,0.77,0.07326950970650468,0.8192307692307693,0.06251751545286532,0.6892540792540792,0.06191252957105791
QA-MobileNetV3-Small,original,0.7230769230769231,,0.4444444444444444,,1.0,,0.23076923076923078,,0.5,
QA-MobileNetV3-Small,severe,0.7138461538461539,0.04276346333407917,0.6972222222222222,0.045865441526772015,0.36,0.13917047478769187,0.826923076923077,0.034173973716870684,0.38977272727272727,0.12366708882778381
QA-ResNet18,mild,0.7115384615384615,0.024389142480694802,0.7222222222222222,0.0,0.0,0.0,1.0,0.0,0.0,0.0
QA-ResNet18,moderate,0.6923076923076923,0.05329387100211932,0.7222222222222222,0.0,0.0,0.0,1.0,0.0,0.0,0.0
QA-ResNet18,original,0.676923076923077,,0.7222222222222222,,0.0,,1.0,,0.0,
QA-ResNet18,severe,0.5723076923076923,0.05960526229854191,0.7222222222222222,0.0,0.0,0.0,1.0,0.0,0.0,0.0
